Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
100% Corpus,3,0.61,0.01,0.2988809483084703,-8.650047467224965
100% Corpus,3,0.61,0.31,0.29676019161172396,-7.84334476160879
100% Corpus,3,0.61,0.61,0.28131856562026086,-7.834575366347641
100% Corpus,3,0.61,0.9099999999999999,0.2979772770160299,-7.836395615407052
100% Corpus,3,0.61,symmetric,0.2884758339078906,-7.8526728434154816
100% Corpus,3,0.9099999999999999,0.01,0.30160891341480317,-8.685242872886256
100% Corpus,3,0.9099999999999999,0.31,0.2959851956649537,-7.874901854139365
100% Corpus,3,0.9099999999999999,0.61,0.3050765440787971,-7.823984890618971
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2913426738464793,-7.848077719529174
100% Corpus,3,0.9099999999999999,symmetric,0.3069208368871558,-7.836562137771893
100% Corpus,3,symmetric,0.01,0.3125955525626975,-8.665408532601395
100% Corpus,3,symmetric,0.31,0.3152774340012255,-7.804044154876646
100% Corpus,3,symmetric,0.61,0.30344797261726436,-7.80295204550343
100% Corpus,3,symmetric,0.9099999999999999,0.2973287956951842,-7.8247256714760125
100% Corpus,3,symmetric,symmetric,0.3022765262232621,-7.813719570412005
100% Corpus,3,asymmetric,0.01,0.30041352068733723,-8.635175029716905
100% Corpus,3,asymmetric,0.31,0.3070735045922934,-7.790626582704022
100% Corpus,3,asymmetric,0.61,0.417985839845175,-7.722477439019968
100% Corpus,3,asymmetric,0.9099999999999999,0.3684583063531229,-7.7069335770642935
100% Corpus,3,asymmetric,symmetric,0.32535877639599986,-7.8051285972542255
